course_code,subject,title,units_min,units_max,term,section_num,component,max_enrolled,curr_enrolled,building,days,start_time,end_time,start_date,end_date,school,level_num,level,section_id,is_anchor
10N,CS,Computer Play: An Unconventional Introduction to CS and EE,4,4,2025-2026 Spring,1,ISF,16,10,Gilbert Biological Science 117,Friday,1:30:00 PM,2:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,10,seminar,CS-10N-ISF-01,True
10N,CS,Computer Play: An Unconventional Introduction to CS and EE,4,4,2025-2026 Spring,1,ISF,16,10,STLC 105,"Monday,Wednesday",1:30:00 PM,2:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,10,seminar,CS-10N-ISF-01,True
21SI,CS,AI for Social Good,2,2,2025-2026 Spring,1,ACT,20,11,Lathrop 190,Wednesday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,21,seminar,CS-21SI-ACT-01,True
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Spring,1,LEC,150,0,320-105,"Tuesday,Thursday",1:30:00 PM,2:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,24,intro,CS-24-LEC-01,True
25,CS,Transformers United V6 (SYMSYS 25),1,1,2025-2026 Spring,1,ACT,190,100,Skilling Auditorium,Thursday,4:30:00 PM,5:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,25,seminar,CS-25-ACT-01,True
31N,CS,Counterfactuals: The Science of What Ifs?,3,3,2025-2026 Spring,1,ISF,16,8,90-92Q,"Monday,Wednesday",1:30:00 PM,2:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,31,seminar,CS-31N-ISF-01,True
47N,CS,Datathletics: Diving into Data Analytics and Stanford Sports,3,3,2025-2026 Spring,1,ISF,20,19,STLC 118,"Tuesday,Thursday",1:30:00 PM,2:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,47,seminar,CS-47N-ISF-01,True
52,CS,CS + Social Good Studio: Implementing Social Good Projects,2,2,2025-2026 Spring,1,LEC,30,28,CODAB90,"Tuesday,Thursday",4:30:00 PM,5:50:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,52,intro,CS-52-LEC-01,True
53N,CS,How Can Generative AI Help Us Learn? (DESIGN 183N),3,3,2025-2026 Spring,1,ISF,24,23,160-124,"Tuesday,Thursday",10:30:00 AM,11:50:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,53,seminar,CS-53N-ISF-01,True
103,CS,Mathematical Foundations of Computing,3,5,2025-2026 Spring,1,LEC,999,181,CODAB80,"Monday,Wednesday,Friday",3:00:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,103,intro,CS-103-LEC-01,True
104,CS,Introduction to Essential Software Systems and Tools,3,3,2025-2026 Spring,1,LEC,80,22,McCullough 115,"Monday,Wednesday,Friday",3:00:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,104,intro,CS-104-LEC-01,True
106A,CS,Programming Methodology,3,5,2025-2026 Spring,56,DIS,15,0,110-114,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-56,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,58,DIS,15,0,STLC 104,Friday,3:30:00 PM,4:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-58,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,53,DIS,15,0,STLC 118,Friday,2:30:00 PM,3:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-53,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,46,DIS,15,0,160-129,Friday,12:30:00 PM,1:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-46,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,37,DIS,15,0,STLC 105,Friday,9:30:00 AM,10:20:00 AM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-37,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,33,DIS,15,0,ANKO 008,Thursday,7:30:00 PM,8:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-33,False
106A,CS,Programming Methodology,3,5,2025-2026 Spring,27,DIS,15,0,ANKO 008,Thursday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026",engineering,106,intro,CS-106A-DIS-27,False
