id,year,school,dorm,mode,speed,target_units
0,4,hs_interdisc,Mirrielees,bike,4.17,12
1,4,hs_social,Crothers Memorial,bike,4.67,16
2,3,hs_natural,Twain,walk,1.52,13
3,4,hs_interdisc,Roth,bike,5.75,14
4,4,engineering,Toyon,walk,1.36,15
5,3,hs_humanities,Meier,bike,4.85,17
6,1,hs_interdisc,Castano,bike,4.79,16
7,4,hs_natural,Roble Hall,bike,5.23,15
8,1,engineering,Ujamaa,bike,5.27,14
9,2,hs_interdisc,Otero,walk,1.57,16
10,3,hs_social,Sigma Nu,bike,5.01,16
11,1,hs_interdisc,Castano,bike,5.54,12
12,1,engineering,Lantana,bike,5.0,15
13,3,hs_interdisc,Govco Suites,walk,1.31,14
14,3,hs_interdisc,Gavilan,bike,4.27,15
15,2,engineering,Kimball,bike,4.65,12
16,1,hs_humanities,Casa Zapata,bike,4.48,17
17,4,hs_social,Toyon,bike,4.17,14
18,2,engineering,Kimball,bike,4.32,12
19,4,hs_social,Twain,bike,5.05,14
20,1,hs_interdisc,Branner,bike,4.59,15
21,1,hs_interdisc,Mirlo,bike,5.05,12
22,3,engineering,EVGR,bike,5.41,16
23,2,hs_interdisc,Robert Moore North,bike,4.85,15
24,2,hs_interdisc,Yost,walk,1.63,15
25,1,hs_interdisc,Crothers,bike,4.51,15
26,3,hs_social,Muwekma-Tah-Ruk,bike,4.41,13
27,3,engineering,Govco Suites,bike,4.57,16
28,2,hs_interdisc,Loro,bike,4.3,14
29,2,doerr,Kappa Alpha Theta,bike,5.6,14
30,3,engineering,Toussaint,bike,4.67,15
31,3,engineering,EVGR,walk,1.35,18
32,1,engineering,Cedro,bike,4.35,13
33,4,hs_humanities,Junipero,walk,1.31,17
34,1,hs_social,Crothers,bike,5.25,12
35,1,hs_natural,Cardenal,bike,4.24,14
36,2,hs_interdisc,Twain,electric,6.57,13
37,1,hs_interdisc,Rinconada,walk,1.36,15
38,4,hs_interdisc,EVGR,bike,4.84,13
39,1,engineering,Ujamaa,bike,4.42,14
40,3,hs_natural,Kappa Sigma,bike,4.67,17
41,3,hs_natural,Toyon,walk,1.39,12
42,4,engineering,Casa Zapata,bike,4.26,18
43,2,engineering,Pi Beta Phi,walk,1.41,14
44,1,engineering,Branner,walk,1.32,15
45,3,engineering,Meier,bike,5.58,13
46,1,engineering,Castano,walk,1.53,15
47,1,engineering,Larkin,walk,1.63,15
