id,year,school,dorm,mode,speed,target_units,is_early_riser,is_coffee_drinker,coffee_destination,coffee_duration_min,eats_lunch_on_campus_base,lunch_eateries,lunch_dining_halls,lunch_will_go_dorm,lunch_duration_min,lunch_avanti_eligible,lunch_yme_eligible,home_return_threshold_min,library_use_rate,library_destinations,eats_dinner_on_campus,dinner_duration_min,gym_days_per_week,gym_destination,gym_duration_min
0,4,hs_interdisc,Mirrielees,bike,4.17,12,False,True,Coupa GSB,11,0.85,Coupa Green|Panda|Subway,EVGR Dining|Stern Dining,True,28,False,False,142,0.5,Y2E2|Huang,False,42,3,ACSR,52
1,4,hs_social,Crothers Memorial,bike,4.67,16,True,True,Coupa Green,7,0.85,Coupa GSB|Voyager|TAP,Arrillaga|Lakeside,True,24,False,False,160,0.65,Lathrop|Green,False,35,2,ACSR,77
2,3,hs_natural,Twain,walk,1.52,13,False,False,,9,0.85,Subway|Coupa Green|Treehouse,Stern Dining|Arrillaga,True,25,False,False,95,0.5,Lane|Huang,True,62,2,ACSR,111
3,4,hs_interdisc,Roth,bike,5.75,14,False,True,CoHo,10,0.85,Treehouse|Voyager|Olives,Stern Dining|Wilbur Dining,False,32,False,False,159,0.5,Lane|Green,False,30,0,ACSR,41
4,4,engineering,Toyon,walk,1.36,15,True,True,Coupa GSB,7,0.85,Panda|CoHo|Subway,Branner Dining|Lakeside,True,48,False,False,103,0.4,Lathrop|Y2E2,True,53,0,ACSR,91
5,3,hs_humanities,Meier,bike,4.85,17,False,True,CoHo,8,0.85,CoHo|CODAB|Treehouse,Lakeside|FloMo Dining,True,35,False,False,138,0.65,Green|Lane,False,41,2,AOERC,52
6,1,hs_interdisc,Castano,bike,4.79,16,True,False,,6,0.85,Subway|Voyager|Coupa Green,Casper|Lakeside,True,32,False,False,119,0.5,Lathrop|Green,True,32,0,ACSR,62
7,4,hs_natural,Roble Hall,bike,5.23,15,False,True,Coupa Y2E2,6,0.85,Coupa Y2E2|Forbes|Treehouse,Lakeside|Ricker,True,25,False,False,151,0.5,Y2E2|Huang,True,37,3,AOERC,20
8,1,engineering,Ujamaa,bike,5.27,14,False,True,Starbucks,7,0.85,Forbes|Coupa Green|CoHo,Lakeside|Stern Dining,True,42,False,False,77,0.4,Lane|Y2E2,True,56,0,AOERC,71
9,2,hs_interdisc,Otero,walk,1.57,16,False,True,Coupa GSB,8,0.85,Panda|Bytes|Coupa GSB,Wilbur Dining|Arrillaga,False,12,False,False,135,0.5,Y2E2|Green,True,49,0,ACSR,113
10,3,hs_social,Sigma Nu,bike,5.01,16,False,True,Forbes,6,0.85,Subway|CODAB|Coupa Green,Stern Dining|FloMo Dining,False,16,False,False,163,0.65,Lathrop|Lane,False,51,2,ACSR,81
11,1,hs_interdisc,Castano,bike,5.54,12,False,True,Coupa GSB,10,0.85,Voyager|Olives|Subway,Casper|Stern Dining,True,39,False,False,137,0.5,Huang|Lathrop,False,43,3,ACSR,30
12,1,engineering,Lantana,bike,5.0,15,False,True,Bytes,8,0.85,Coupa Green|Coupa GSB|TAP,Casper|Stern Dining,True,32,False,False,148,0.4,Lathrop|Huang,False,35,1,ACSR,77
13,3,hs_interdisc,Govco Suites,walk,1.31,14,False,True,CoHo,8,0.85,TAP|CODAB|Subway,Ricker|Lakeside,True,18,True,False,102,0.5,Huang|Lane,True,38,5,AOERC,46
14,3,hs_interdisc,Gavilan,bike,4.27,15,True,True,CODAB,11,0.85,TAP|Forbes|Coupa Y2E2,FloMo Dining|Casper,True,36,False,False,134,0.5,Huang|Lathrop,False,29,2,AOERC,74
15,2,engineering,Kimball,bike,4.65,12,False,True,Starbucks,9,0.85,CODAB|Olives|TAP,Casper|FloMo Dining,True,21,False,False,145,0.4,Y2E2|Huang,True,26,0,ACSR,25
16,1,hs_humanities,Casa Zapata,bike,4.48,17,False,True,Starbucks,7,0.85,Forbes|Treehouse|Subway,Stern Dining|Casper,False,42,False,False,110,0.65,Huang|Lathrop,True,38,1,ACSR,39
17,4,hs_social,Toyon,bike,4.17,14,True,True,Coupa Green,9,0.85,Treehouse|Coupa Green|TAP,Branner Dining|EVGR Dining,True,34,False,False,100,0.65,Lathrop|Green,True,49,2,ACSR,65
18,2,engineering,Kimball,bike,4.32,12,True,False,,9,0.85,Olives|Forbes|Subway,Casper|Branner Dining,True,43,False,False,117,0.4,Huang|Lathrop,True,37,3,ACSR,41
19,4,hs_social,Twain,bike,5.05,14,True,False,,7,0.85,Treehouse|Coupa GSB|Panda,Stern Dining|Lakeside,False,29,False,False,129,0.65,Y2E2|Green,False,29,2,ACSR,49
20,1,hs_interdisc,Branner,bike,4.59,15,True,True,Starbucks,9,0.85,Treehouse|TAP|Coupa GSB,Branner Dining|Wilbur Dining,True,25,False,False,33,0.5,Lathrop|Huang,True,37,3,ACSR,77
21,1,hs_interdisc,Mirlo,bike,5.05,12,False,True,CODAB,6,0.85,CODAB|Coupa GSB|Forbes,FloMo Dining|Ricker,True,21,False,False,128,0.5,Y2E2|Lathrop,True,34,0,AOERC,65
22,3,engineering,EVGR,bike,5.41,16,True,True,Coupa GSB,9,0.85,Coupa Y2E2|CoHo|Bytes,Stern Dining|FloMo Dining,True,37,False,False,121,0.4,Huang|Lathrop,False,54,2,ACSR,20
23,2,hs_interdisc,Robert Moore North,bike,4.85,15,True,True,CODAB,7,0.85,Treehouse|Coupa Green|Panda,Stern Dining|Wilbur Dining,False,17,False,False,164,0.5,Y2E2|Huang,True,35,3,AOERC,41
24,2,hs_interdisc,Yost,walk,1.63,15,False,True,CODAB,9,0.85,Voyager|Panda|Coupa Y2E2,Ricker|Arrillaga,True,22,False,True,104,0.5,Y2E2|Huang,True,53,5,AOERC,70
25,1,hs_interdisc,Crothers,bike,4.51,15,False,True,Coupa Y2E2,7,0.85,Olives|Panda|Coupa Y2E2,Arrillaga|Stern Dining,False,21,False,False,142,0.5,Lane|Y2E2,True,31,2,ACSR,84
26,3,hs_social,Muwekma-Tah-Ruk,bike,4.41,13,False,True,Starbucks,6,0.85,TAP|Subway|Voyager,Stern Dining|Casper,True,18,False,False,125,0.65,Lathrop|Huang,True,41,1,AOERC,45
27,3,engineering,Govco Suites,bike,4.57,16,False,True,Coupa Y2E2,5,0.85,Panda|Subway|Coupa Y2E2,Ricker|FloMo Dining,True,33,True,False,90,0.4,Huang|Green,False,42,1,AOERC,32
28,2,hs_interdisc,Loro,bike,4.3,14,False,True,CoHo,8,0.85,Panda|Subway|Olives,FloMo Dining|Arrillaga,True,35,False,False,77,0.5,Lathrop|Y2E2,True,28,0,AOERC,57
29,2,doerr,Kappa Alpha Theta,bike,5.6,14,False,True,Starbucks,9,0.85,Olives|CoHo|Coupa Y2E2,Stern Dining|Branner Dining,False,23,False,False,87,0.5,Huang|Green,False,47,4,ACSR,37
30,3,engineering,Toussaint,bike,4.67,15,False,True,Forbes,4,0.85,Coupa Green|CoHo|Panda,Stern Dining|Casper,True,34,False,False,121,0.4,Lathrop|Huang,True,44,2,ACSR,55
31,3,engineering,EVGR,walk,1.35,18,False,False,,11,0.85,Treehouse|Olives|CODAB,Arrillaga|EVGR Dining,False,30,False,False,162,0.4,Lane|Y2E2,False,29,2,ACSR,52
32,1,engineering,Cedro,bike,4.35,13,False,True,Bytes,7,0.85,Coupa Y2E2|Treehouse|Coupa GSB,Wilbur Dining|Lakeside,False,38,False,False,145,0.4,Y2E2|Huang,False,39,2,ACSR,55
33,4,hs_humanities,Junipero,walk,1.31,17,False,True,CODAB,9,0.85,Treehouse|TAP|Coupa Y2E2,Wilbur Dining|Branner Dining,True,14,False,False,123,0.65,Huang|Green,True,36,2,ACSR,84
34,1,hs_social,Crothers,bike,5.25,12,True,True,Coupa Green,7,0.85,Coupa GSB|CoHo|TAP,Arrillaga|Branner Dining,False,31,False,False,111,0.65,Huang|Lathrop,False,28,2,ACSR,65
35,1,hs_natural,Cardenal,bike,4.24,14,True,False,,10,0.85,Treehouse|Subway|Coupa GSB,FloMo Dining|Ricker,True,20,False,False,144,0.5,Lane|Y2E2,False,49,3,AOERC,74
36,2,hs_interdisc,Twain,electric,6.57,13,True,True,CoHo,8,0.85,Voyager|CoHo|Treehouse,Stern Dining|FloMo Dining,True,49,False,False,108,0.5,Lathrop|Green,True,46,4,ACSR,56
37,1,hs_interdisc,Rinconada,walk,1.36,15,True,False,,5,0.85,CoHo|Olives|Coupa GSB,Wilbur Dining|Casper,True,32,False,False,109,0.5,Y2E2|Lathrop,False,38,1,ACSR,75
38,4,hs_interdisc,EVGR,bike,4.84,13,True,True,Forbes,6,0.85,Coupa Green|CoHo|Panda,FloMo Dining|Lakeside,True,29,False,False,76,0.5,Lathrop|Green,True,39,1,ACSR,64
39,1,engineering,Ujamaa,bike,4.42,14,False,True,Bytes,5,0.85,Olives|Voyager|CoHo,Lakeside|Wilbur Dining,True,32,False,False,154,0.4,Y2E2|Huang,True,23,3,AOERC,61
40,3,hs_natural,Kappa Sigma,bike,4.67,17,False,True,CoHo,7,0.85,Coupa Y2E2|Coupa GSB|Voyager,Stern Dining|Branner Dining,True,38,False,False,181,0.5,Green|Y2E2,True,42,3,AOERC,68
41,3,hs_natural,Toyon,walk,1.39,12,True,False,,12,0.85,Voyager|CoHo|Treehouse,Branner Dining|Ricker,False,38,False,False,154,0.5,Lane|Huang,False,40,0,ACSR,49
42,4,engineering,Casa Zapata,bike,4.26,18,False,True,Forbes,8,0.85,Panda|Coupa GSB|Treehouse,Stern Dining|Wilbur Dining,True,27,False,False,97,0.4,Green|Huang,False,33,0,ACSR,35
43,2,engineering,Pi Beta Phi,walk,1.41,14,True,True,CODAB,7,0.85,Subway|Panda|CoHo,Stern Dining|Casper,True,30,False,False,153,0.4,Huang|Lathrop,False,48,2,ACSR,67
44,1,engineering,Branner,walk,1.32,15,False,True,Coupa GSB,8,0.85,Olives|Treehouse|Panda,Branner Dining|Casper,True,22,False,False,96,0.4,Huang|Lathrop,False,29,5,ACSR,55
