course_code,subject,title,units_min,units_max,term,section_num,component,max_enrolled,curr_enrolled,building,days,start_time,end_time,start_date,end_date
7,CS,Personal Finance for Engineers,1,1,2025-2026 Autumn,01,SEM,250,174,CODAB80,Tuesday,4:30:00 PM,5:50:00 PM,"Sep 22, 2025","Dec 5, 2025"
10N,CS,Computer Play: An Unconventional Introduction to CS and EE,4,4,2025-2026 Spring,01,ISF,16,10,Gilbert Biological Science 117,Friday,1:30:00 PM,2:50:00 PM,"Mar 30, 2026","Jun 3, 2026"
10N,CS,Computer Play: An Unconventional Introduction to CS and EE,4,4,2025-2026 Spring,01,ISF,16,10,STLC 105,"Monday,Wednesday",1:30:00 PM,2:20:00 PM,"Mar 30, 2026","Jun 3, 2026"
11SI,CS,How to Make VR: Introduction to Virtual Reality Design and Development,2,2,2025-2026 Winter,01,ACT,20,20,160-318,"Tuesday,Thursday",1:30:00 PM,2:20:00 PM,"Jan 5, 2026","Mar 13, 2026"
21SI,CS,AI for Social Good,2,2,2025-2026 Spring,01,ACT,20,11,Lathrop 190,Wednesday,5:30:00 PM,6:20:00 PM,"Mar 30, 2026","Jun 3, 2026"
22A,CS,"The Social & Economic Impact of Artificial Intelligence (INTLPOL 200, SYMSYS 122)",1,1,2025-2026 Winter,01,LEC,300,80,Cemex Auditorium,Wednesday,1:30:00 PM,2:20:00 PM,"Jan 5, 2026","Mar 13, 2026"
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Autumn,01,LEC,100,0,,,,,,
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Autumn,02,DIS,15,0,,,,,,
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Winter,16,DIS,18,0,,,,,,
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Winter,18,DIS,18,0,,,,,,
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Winter,02,DIS,50,0,,,,,,
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Winter,19,DIS,18,1,160-328,Thursday,4:30:00 PM,5:20:00 PM,"Jan 5, 2026","Mar 13, 2026"
24,CS,"Minds and Machines (LINGUIST 35, PHIL 99, PSYCH 35, SYMSYS 1, SYMSYS 200)",4,4,2025-2026 Winter,07,DIS,18,2,Lathrop 290,Thursday,9:30:00 AM,10:20:00 AM,"Jan 5, 2026","Mar 13, 2026"
